GeoCode,BuildingType,NumberOfFloors,YearBuilt,BuildingCount
1101,NonResidential,Unknown,1946to1960,0
1101,SingleFamily,1Floor,1961to1970,0
1101,SingleFamily,2Floors,1961to1970,2
1101,SingleFamily,3Floors,1961to1970,1
1101,SingleFamily,4Floors,1961to1970,0
1101,SingleFamily,5Floors,1961to1970,0
1101,SingleFamily,6Floors,1961to1970,0
1101,SingleFamily,7Floors,1961to1970,0
1101,SingleFamily,8Floors,1961to1970,0
1101,SingleFamily,9Floors,1961to1970,0
1101,SingleFamily,10Floors,1961to1970,0
1101,SingleFamily,11to12Floors,1961to1970,0
1101,SingleFamily,13PlusFloors,1961to1970,0
1101,SingleFamily,Unknown,1961to1970,1
1101,MultiDwelling,1Floor,1961to1970,0
1101,MultiDwelling,2Floors,1961to1970,1
1101,MultiDwelling,3Floors,1961to1970,0
1101,MultiDwelling,4Floors,1961to1970,3
1101,MultiDwelling,5Floors,1961to1970,0
1101,MultiDwelling,6Floors,1961to1970,1
1101,MultiDwelling,7Floors,1961to1970,0
1101,MultiDwelling,8Floors,1961to1970,0
1101,MultiDwelling,9Floors,1961to1970,0
1101,MultiDwelling,10Floors,1961to1970,0
1101,MultiDwelling,11to12Floors,1961to1970,0
1101,MultiDwelling,13PlusFloors,1961to1970,0
1101,MultiDwelling,Unknown,1961to1970,0
1101,NonResidential,1Floor,1961to1970,0
1101,NonResidential,2Floors,1961to1970,0
1101,NonResidential,3Floors,1961to1970,0
1101,NonResidential,4Floors,1961to1970,0
1101,NonResidential,5Floors,1961to1970,1
1101,NonResidential,6Floors,1961to1970,0
1101,NonResidential,7Floors,1961to1970,0
1101,NonResidential,8Floors,1961to1970,0
1101,NonResidential,9Floors,1961to1970,0
1101,NonResidential,10Floors,1961to1970,0
1101,NonResidential,11to12Floors,1961to1970,0
1101,NonResidential,13PlusFloors,1961to1970,0
1101,NonResidential,Unknown,1961to1970,0
1101,SingleFamily,1Floor,1971to1980,1
1101,SingleFamily,2Floors,1971to1980,4
1101,SingleFamily,3Floors,1971to1980,2
1101,SingleFamily,4Floors,1971to1980,0
1101,SingleFamily,5Floors,1971to1980,0
1101,SingleFamily,6Floors,1971to1980,0
1101,SingleFamily,7Floors,1971to1980,0
1101,SingleFamily,8Floors,1971to1980,0
1101,SingleFamily,9Floors,1971to1980,0
1101,SingleFamily,10Floors,1971to1980,0
1101,SingleFamily,11to12Floors,1971to1980,0
1101,SingleFamily,13PlusFloors,1971to1980,0
1101,SingleFamily,Unknown,1971to1980,0
1101,MultiDwelling,1Floor,1971to1980,0
1101,MultiDwelling,2Floors,1971to1980,0
1101,MultiDwelling,3Floors,1971to1980,1
1101,MultiDwelling,4Floors,1971to1980,2
1101,MultiDwelling,5Floors,1971to1980,3
1101,MultiDwelling,6Floors,1971to1980,0
1101,MultiDwelling,7Floors,1971to1980,0
1101,MultiDwelling,8Floors,1971to1980,0
1101,MultiDwelling,9Floors,1971to1980,1
1101,MultiDwelling,10Floors,1971to1980,0
1101,MultiDwelling,11to12Floors,1971to1980,0
1101,MultiDwelling,13PlusFloors,1971to1980,0
1101,MultiDwelling,Unknown,1971to1980,0
1101,NonResidential,1Floor,1971to1980,0
1101,NonResidential,2Floors,1971to1980,0
1101,NonResidential,3Floors,1971to1980,0
1101,NonResidential,4Floors,1971to1980,3
1101,NonResidential,5Floors,1971to1980,0
1101,NonResidential,6Floors,1971to1980,0
1101,NonResidential,7Floors,1971to1980,0
1101,NonResidential,8Floors,1971to1980,0
1101,NonResidential,9Floors,1971to1980,0
1101,NonResidential,10Floors,1971to1980,0
1101,NonResidential,11to12Floors,1971to1980,0
1101,NonResidential,13PlusFloors,1971to1980,0
1101,NonResidential,Unknown,1971to1980,0
1101,SingleFamily,1Floor,1981to1990,0
1101,SingleFamily,2Floors,1981to1990,3
1101,SingleFamily,3Floors,1981to1990,4
1101,SingleFamily,4Floors,1981to1990,0
1101,SingleFamily,5Floors,1981to1990,0
1101,SingleFamily,6Floors,1981to1990,0
1101,SingleFamily,7Floors,1981to1990,0
1101,SingleFamily,8Floors,1981to1990,0
1101,SingleFamily,9Floors,1981to1990,0
1101,SingleFamily,10Floors,1981to1990,0
1101,SingleFamily,11to12Floors,1981to1990,0
1101,SingleFamily,13PlusFloors,1981to1990,0
1101,SingleFamily,Unknown,1981to1990,0
1101,MultiDwelling,1Floor,1981to1990,0
1101,MultiDwelling,2Floors,1981to1990,0
1101,MultiDwelling,3Floors,1981to1990,1
1101,MultiDwelling,4Floors,1981to1990,1
1101,MultiDwelling,5Floors,1981to1990,3
1101,MultiDwelling,6Floors,1981to1990,1
1101,MultiDwelling,7Floors,1981to1990,0
1101,MultiDwelling,8Floors,1981to1990,0
1101,MultiDwelling,9Floors,1981to1990,0
1101,MultiDwelling,10Floors,1981to1990,0
1101,MultiDwelling,11to12Floors,1981to1990,0
1101,MultiDwelling,13PlusFloors,1981to1990,0
1101,MultiDwelling,Unknown,1981to1990,0
1101,NonResidential,1Floor,1981to1990,0
1101,NonResidential,2Floors,1981to1990,0
1101,NonResidential,3Floors,1981to1990,1
1101,NonResidential,4Floors,1981to1990,4
1101,NonResidential,5Floors,1981to1990,1
1101,NonResidential,6Floors,1981to1990,0
1101,NonResidential,7Floors,1981to1990,0
1101,NonResidential,8Floors,1981to1990,0
1101,NonResidential,9Floors,1981to1990,0
1101,NonResidential,10Floors,1981to1990,0
1101,NonResidential,11to12Floors,1981to1990,0
1101,NonResidential,13PlusFloors,1981to1990,0
1101,NonResidential,Unknown,1981to1990,0
1101,SingleFamily,1Floor,1991to2000,0
1101,SingleFamily,2Floors,1991to2000,2
1101,SingleFamily,3Floors,1991to2000,7
1101,SingleFamily,4Floors,1991to2000,0
1101,SingleFamily,5Floors,1991to2000,0
1101,SingleFamily,6Floors,1991to2000,0
1101,SingleFamily,7Floors,1991to2000,0
1101,SingleFamily,8Floors,1991to2000,0
1101,SingleFamily,9Floors,1991to2000,0
1101,SingleFamily,10Floors,1991to2000,0
1101,SingleFamily,11to12Floors,1991to2000,0
1101,SingleFamily,13PlusFloors,1991to2000,0
1101,SingleFamily,Unknown,1991to2000,1
1101,MultiDwelling,1Floor,1991to2000,0
1101,MultiDwelling,2Floors,1991to2000,2
1101,MultiDwelling,3Floors,1991to2000,10
1101,MultiDwelling,4Floors,1991to2000,25
1101,MultiDwelling,5Floors,1991to2000,27
1101,MultiDwelling,6Floors,1991to2000,7
1101,MultiDwelling,7Floors,1991to2000,2
1101,MultiDwelling,8Floors,1991to2000,0
1101,MultiDwelling,9Floors,1991to2000,0
1101,MultiDwelling,10Floors,1991to2000,0
1101,MultiDwelling,11to12Floors,1991to2000,0
1101,MultiDwelling,13PlusFloors,1991to2000,0
1101,MultiDwelling,Unknown,1991to2000,15
1101,NonResidential,1Floor,1991to2000,0
1101,NonResidential,2Floors,1991to2000,2
1101,NonResidential,3Floors,1991to2000,4
1101,NonResidential,4Floors,1991to2000,5
1101,NonResidential,5Floors,1991to2000,10
1101,NonResidential,6Floors,1991to2000,0
1101,NonResidential,7Floors,1991to2000,2
1101,NonResidential,8Floors,1991to2000,0
1101,NonResidential,9Floors,1991to2000,0
1101,NonResidential,10Floors,1991to2000,0
1101,NonResidential,11to12Floors,1991to2000,0
1101,NonResidential,13PlusFloors,1991to2000,0
1101,NonResidential,Unknown,1991to2000,2
1101,SingleFamily,1Floor,2001to2011,0
1101,SingleFamily,2Floors,2001to2011,2
1101,SingleFamily,3Floors,2001to2011,2
1101,SingleFamily,4Floors,2001to2011,0
1101,SingleFamily,5Floors,2001to2011,0
1101,SingleFamily,6Floors,2001to2011,0
1101,SingleFamily,7Floors,2001to2011,0
1101,SingleFamily,8Floors,2001to2011,0
1101,SingleFamily,9Floors,2001to2011,0
1101,SingleFamily,10Floors,2001to2011,0
1101,SingleFamily,11to12Floors,2001to2011,0
1101,SingleFamily,13PlusFloors,2001to2011,0
1101,SingleFamily,Unknown,2001to2011,0
1101,MultiDwelling,1Floor,2001to2011,0
1101,MultiDwelling,2Floors,2001to2011,0
1101,MultiDwelling,3Floors,2001to2011,3
1101,MultiDwelling,4Floors,2001to2011,8
1101,MultiDwelling,5Floors,2001to2011,9
1101,MultiDwelling,6Floors,2001to2011,6
1101,MultiDwelling,7Floors,2001to2011,0
1101,MultiDwelling,8Floors,2001to2011,1
1101,MultiDwelling,9Floors,2001to2011,3
1101,MultiDwelling,10Floors,2001to2011,0
1101,MultiDwelling,11to12Floors,2001to2011,0
1101,MultiDwelling,13PlusFloors,2001to2011,0
1101,MultiDwelling,Unknown,2001to2011,1
1101,NonResidential,1Floor,2001to2011,0
1101,NonResidential,2Floors,2001to2011,1
1101,NonResidential,3Floors,2001to2011,0
1101,NonResidential,4Floors,2001to2011,2
1101,NonResidential,5Floors,2001to2011,9
1101,NonResidential,6Floors,2001to2011,2
1101,NonResidential,7Floors,2001to2011,3
1101,NonResidential,8Floors,2001to2011,1
1101,NonResidential,9Floors,2001to2011,0
1101,NonResidential,10Floors,2001to2011,0
1101,NonResidential,11to12Floors,2001to2011,0
1101,NonResidential,13PlusFloors,2001to2011,0
1101,NonResidential,Unknown,2001to2011,0
1101,SingleFamily,1Floor,Unknown,1
1101,SingleFamily,2Floors,Unknown,2
1101,SingleFamily,3Floors,Unknown,0
1101,SingleFamily,4Floors,Unknown,0
1101,SingleFamily,5Floors,Unknown,0
1101,SingleFamily,6Floors,Unknown,0
1101,SingleFamily,7Floors,Unknown,0
1101,SingleFamily,8Floors,Unknown,0
1101,SingleFamily,9Floors,Unknown,0
1101,SingleFamily,10Floors,Unknown,0
1101,SingleFamily,11to12Floors,Unknown,0
1101,SingleFamily,13PlusFloors,Unknown,0
1101,SingleFamily,Unknown,Unknown,20
1101,MultiDwelling,1Floor,Unknown,0
1101,MultiDwelling,2Floors,Unknown,1
1101,MultiDwelling,3Floors,Unknown,11
1101,MultiDwelling,4Floors,Unknown,13
